title,title_english,type,source,episodes,status
Yousei Dick,Fairy Dick,TV,Unknown,26,Finished Airing
Kachikachi Yama (1940),,Movie,Other,1,Finished Airing
Ultra B: Black Hole kara no Dokusaisha BB!!,,Movie,Manga,1,Finished Airing
Biohazard 4D-Executer,Resident Evil 4D Executor,Special,Game,1,Finished Airing
Brave Witches: Petersburg Daisenryaku,,Special,Original,1,Finished Airing
Ginga Tetsudou 999: Glass no Clair,Galaxy Express 999: Claire of the Glass,Movie,Manga,1,Finished Airing
Osiris no Tenbin: Season 2,,ONA,Original,11,Finished Airing
Toaru Majutsu no Index-tan II,A Certain Magical Index II: Specials,Special,Unknown,2,Finished Airing
Takarajima,,TV,Novel,26,Finished Airing
Gundam Build Fighters: GM no Gyakushuu,,ONA,Original,1,Finished Airing
