title,title_english,type,source,episodes,status
Ttori wa Zeta Robot,,Movie,Unknown,1,Finished Airing
Hitotsubu ni Kawaranu Ai wo Komete,,ONA,Unknown,1,Finished Airing
Okori Jizou,,Movie,Unknown,1,Finished Airing
Ghost,,Movie,Original,1,Finished Airing
Hand Shakers,Hand Shakers,TV,Original,12,Finished Airing
Seishun Fuufu Monogatari: Koiko no Mainichi,,OVA,Manga,2,Finished Airing
Nono-chan Theater,,ONA,4-koma manga,0,Finished Airing
Injuu Gakuen La Blue Girl,La Blue Girl,OVA,Manga,6,Finished Airing
Jormungand,Jormungand,TV,Manga,12,Finished Airing
Katta-kun Monogatari,,Movie,Unknown,1,Finished Airing
Zettai Zetsumei Dangerous Jiisan (2004),,TV,Manga,51,Finished Airing
Parasite Dolls,,OVA,Original,3,Finished Airing
Amatsuki,Amatsuki,TV,Manga,13,Finished Airing
Ladies versus Butlers! Tokuten Disc Music Clip,,Special,Light novel,1,Finished Airing
Carnival Phantasm: Illya-jou,,Special,Unknown,1,Finished Airing
Di Gi Charat Natsuyasumi Special,,Special,Unknown,4,Finished Airing
Chikyuu ga Ugoita Hi,The Day the Earth Moved,Movie,Unknown,1,Finished Airing
Shoukoushi Cedie,Little Lord Fauntleroy,TV,Novel,43,Finished Airing
Yurumates 3D,,TV,4-koma manga,13,Finished Airing
Nowhereland,Nowhereland,Music,Original,1,Finished Airing
Souiu Megane,"Well, That&#039;s Glasses",Movie,Original,1,Finished Airing
Fortune Arterial: Akai Yakusoku,,TV,Visual novel,12,Finished Airing
Bloody Date,,ONA,Unknown,1,Finished Airing
Wanpaku Oomukashi Kum Kum,Kum Kum,TV,Unknown,26,Finished Airing
Hokuto no Ken 2,Fist of the North Star 2,TV,Manga,43,Finished Airing
Wo De Ni Tian Shen Qi,,ONA,Web manga,0,Currently Airing
Saga-ken wo Meguru Animation,,Movie,Original,2,Finished Airing
Seisenshi Dunbine OVA,,OVA,Unknown,3,Finished Airing
30-sai no Hoken Taiiku Specials,,Special,Unknown,3,Finished Airing
Cutie Honey Universe,,TV,Manga,0,Currently Airing
Tenkuu no Shiro Laputa,Castle in the Sky,Movie,Original,1,Finished Airing
Seitokai no Ichizon Lv.2,Student Council&#039;s Discretion Level 2,ONA,Light novel,10,Finished Airing
Princess Holiday: Korogaru Ringo Tei Senya Ichiya,,OVA,Visual novel,2,Finished Airing
Sentou Mecha Xabungle,,TV,Original,50,Finished Airing
To Heart 2: Dungeon Travelers,,OVA,Game,2,Finished Airing
Girls & Panzer: Saishuushou,,Movie,Original,6,Currently Airing
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World!,Movie,Manga,1,Finished Airing
Kirin the Noop,Kirin the Noop,TV,Original,2,Finished Airing
Otona Joshi no Anime Time,,Special,Novel,4,Finished Airing
Deep Voice,,OVA,Visual novel,3,Finished Airing
Himitsukessha Taka no Tsume The Movie 4: Kaspersky wo Motsu Otoko,,OVA,Unknown,1,Finished Airing
Mobile Suit Zeta Gundam: A New Translation II - Lovers,Mobile Suit Zeta Gundam: A New Translation II - Lovers,Movie,Original,1,Finished Airing
Imbalance Girl,,OVA,Unknown,1,Finished Airing
Black Jack the Movie,Black Jack: The Movie,Movie,Manga,1,Finished Airing
W-Tails Cat: A Strange Presence,,ONA,Other,7,Finished Airing
Oniichan Zurui,,Music,Original,1,Finished Airing
Jie Mo Ren,The Devil Ring,ONA,Web manga,14,Finished Airing
Takamiya Nasuno Desu!: Teekyuu Spin-off Specials,,Special,Manga,2,Finished Airing
Copihan,,ONA,Manga,7,Finished Airing
Taishou Mebiusline: Chicchai-san - You and I,,Special,Visual novel,1,Finished Airing
Super Lovers 2,Super Lovers 2,TV,Manga,10,Finished Airing
Tsuri Baka Nisshi,,TV,Manga,36,Finished Airing
Minna ga Shitteru: Kokoro Atatamaru Natsukashii  Ohanashi Series,,OVA,Other,20,Finished Airing
Yawarakame♥,,ONA,Original,26,Finished Airing
Sengoku Basara Two,Sengoku Basara: Samurai Kings 2,TV,Game,12,Finished Airing
Hakuouki Reimeiroku Tokuten Disc,,OVA,Unknown,2,Finished Airing
Lolling Seutajeu (Movie),Rolling Stars (Movie),Movie,Unknown,1,Finished Airing
Dappys,Dappys,TV,Original,0,Currently Airing
Concrete Revolutio: Choujin Gensou,Concrete Revolutio,TV,Original,13,Finished Airing
Fate/Grand Order: Moonlight/Lostroom,,Special,Game,1,Finished Airing
Dorei Kaigo,Slave Nurses,OVA,Visual novel,3,Finished Airing
DNA Hunter,DNA Hunter,OVA,Unknown,3,Finished Airing
Crocotires Traction AAA,,Movie,Original,1,Finished Airing
Mahou Shoujo Lyrical Nanoha ViVid: Special Program,,Special,Manga,1,Finished Airing
Strange+,,TV,Manga,12,Finished Airing
Sinkan,T&A Teacher,OVA,Manga,1,Finished Airing
Yokohama Bakkure-tai,,OVA,Unknown,4,Finished Airing
Jishin ga Kitarou Dousuru? Mushi Mushi Mura no Bousai Kunren,,OVA,Unknown,1,Finished Airing
Yukai na Animal Bus,Funny Animal Bus,TV,Original,12,Finished Airing
Rokushin Gattai GodMars (1982),Six God Combination GodMars: The Movie,Movie,Unknown,1,Finished Airing
Kinnikuman II Sei: Ultimate Muscle 2,,TV,Manga,13,Finished Airing
Music S.T.A.R.T!!,,Music,Unknown,1,Finished Airing
Shiseido HG Super Hard,,Special,Original,6,Finished Airing
Hokkyoku no Muushika Miishika,Adventures of the Polar Cubs,Movie,Unknown,1,Finished Airing
Accel World EX,,OVA,Light novel,2,Finished Airing
Iketeru Futari,,TV,Manga,16,Finished Airing
ef: A Tale of Memories. - Prologue,,Special,Visual novel,1,Finished Airing
Shounen Ashibe: Go! Go! Goma-chan,,TV,4-koma manga,32,Finished Airing
Cofun Gal no Coffy Campus Life Specials,,Special,Original,5,Finished Airing
Uchuu Senkan Yamato (Movie),Space Battleship Yamato,Movie,Original,1,Finished Airing
Lupin VIII,,Special,Unknown,1,Finished Airing
Kagayake! Yuujou no V Sign,,OVA,Unknown,1,Finished Airing
Shooting Hero,,Music,Music,1,Finished Airing
Doubutsu Kankyou Kaigi,,TV,Unknown,20,Finished Airing
Sakasama no Patema: Beginning of the Day,Patema Inverted: Beginning of the Day,Special,Unknown,4,Finished Airing
Lost Forest,,Music,Unknown,1,Finished Airing
Akaoni to Aooni no Tango,,Music,Original,1,Finished Airing
dMatsu-san,,ONA,Manga,12,Currently Airing
Santa no Yama Yousei no Mori,,OVA,Original,2,Finished Airing
Kitsune to Budou,,OVA,Unknown,1,Finished Airing
Bousai Keihatsu Douga,The Disaster Awareness Video,ONA,Original,2,Finished Airing
Metamorphose,,Movie,Unknown,1,Finished Airing
"Sou: Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?-hen",,Special,Other,1,Finished Airing
Dantalian no Shoka,The Mystic Archives of Dantalian,TV,Light novel,12,Finished Airing
Gakuen Saimin Reido,,OVA,Visual novel,3,Finished Airing
Gaki Deka (OVA),,OVA,Unknown,3,Finished Airing
Lance N&#039; Masques,Lance N&#039; Masques,TV,Light novel,12,Finished Airing
Massugu ni Ikou. 2nd Season,,TV,Manga,5,Finished Airing
Sidonia no Kishi Movie,,Movie,Manga,1,Finished Airing
Doura,,OVA,Unknown,4,Finished Airing
Soul Eater,Soul Eater,TV,Manga,51,Finished Airing
Future GPX Cyber Formula 11,,OVA,Unknown,6,Finished Airing
Gakkougurashi!,School-Live!,TV,Manga,12,Finished Airing
Initial D Third Stage,,Movie,Manga,1,Finished Airing
Geisters Movie: Inochi no Shou,,Movie,Original,1,Finished Airing
Bary-san x Gospe Rats: Tonde Bary Bary Monogatari,,Music,Unknown,1,Finished Airing
Boku no Pico,,OVA,Original,1,Finished Airing
Minami-ke Tadaima,,TV,Manga,13,Finished Airing
Gakuen de Jikan yo Tomare,,OVA,Visual novel,4,Finished Airing
Misato-chan no Yume Nikki,,OVA,Unknown,1,Finished Airing
Initial D Second Stage,Initial D Second Stage,TV,Manga,13,Finished Airing
Boku wa Ou-sama,,OVA,Picture book,4,Finished Airing
Kyojin no Hoshi: Chizome no Kesshousen,,Movie,Unknown,1,Finished Airing
Granblue Fantasy The Animation,,TV,Game,13,Finished Airing
Akita Kenritsu Iburi Gakkou Chuutou-bu: Web-ban Omake,,ONA,Original,0,Currently Airing
Inferno Cop 2nd Season,,ONA,Original,0,Not yet aired
Nanaka 6/17 Special,Nanaka the Distraction,Special,Manga,1,Finished Airing
Zankyou no Terror,Terror in Resonance,TV,Original,11,Finished Airing
Nemuranu Machi no Cinderella: Hirose Ryouichi - Memorial Date,,ONA,Unknown,1,Finished Airing
Ougon Bat,Golden Bat,TV,Novel,52,Finished Airing
Reikenzan: Eichi e no Shikaku,,TV,Light novel,12,Finished Airing
Hametsu no Mars,Mars of Destruction,OVA,Visual novel,1,Finished Airing
Oni Chichi: Re-born,,OVA,Visual novel,2,Finished Airing
Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,,Special,Visual novel,1,Finished Airing
Love & Gift,,ONA,Original,1,Finished Airing
The Curlydog Story,The Curlydog Story,Special,Original,1,Finished Airing
Detective Conan Movie 09: Strategy Above the Depths,,Movie,Manga,1,Finished Airing
"Wake Up, Girls!","Wake Up, Girls!",TV,Original,12,Finished Airing
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,,OVA,Unknown,3,Finished Airing
Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,,ONA,Unknown,3,Finished Airing
Maoyuu Maou Yuusha,Maoyu ~ Archenemy & Hero,TV,Light novel,12,Finished Airing
Animal Dance,,Movie,Original,1,Finished Airing
Piroppo,,TV,Other,23,Finished Airing
McDull: Boluo You Wang Zi,"McDull, Prince de la Bun",Movie,Unknown,1,Finished Airing
Dirty Pair no Ooshoubu: Nolandia no Nazo,Dirty Pair: Affair of Nolandia,OVA,Light novel,1,Finished Airing
Aoki Densetsu Shoot! (Movie),Blue Legend Shoot!,Movie,Unknown,1,Finished Airing
Kuni-chan no Ikka Ranran,,Movie,Other,1,Finished Airing
Toshokan Sensou: Kakumei no Tsubasa,,Movie,Novel,1,Finished Airing
Cosmos Pink Shock,,OVA,Original,1,Finished Airing
Kuma ni Kuwarenu Otoko,The Bear Dodger,Movie,Original,1,Finished Airing
Pokemon Diamond & Pearl: Arceus Choukoku no Jikuu e,Pokemon: Arceus and the Jewel of Life,Movie,Game,1,Finished Airing
Ie Naki Ko Remy Specials (2001),,Special,Unknown,2,Finished Airing
Kana Kana Kazoku: Rika in Wonderland,,ONA,Original,1,Finished Airing
Oira no Hijouji,My Big Emergency,Movie,Original,1,Finished Airing
Kigurumikku V3,,ONA,Unknown,3,Finished Airing
Ari to Hato (1959),,Movie,Other,1,Finished Airing
Zettai Karen Children Recap,Absolutely Lovely Children Recap,Special,Unknown,1,Finished Airing
Divine Gate,Divine Gate,TV,Game,12,Finished Airing
Hitozuma Ryoujoku Sankanbi,Desperate Carnal Housewives,OVA,Original,2,Finished Airing
Gegege no Kitarou (1971),,TV,Manga,45,Finished Airing
Kojin Taxi,Sex Taxi,OVA,Visual novel,5,Finished Airing
Nineteen 19,,OVA,Manga,1,Finished Airing
Dragon Crisis!,,TV,Light novel,12,Finished Airing
Youkai Ningen Bem (2006),Humanoid Monster Bem,TV,Unknown,26,Finished Airing
Hone Hone Rock,,Music,Music,1,Finished Airing
Kyouhaku: Owaranai Ashita,The Blackmail: Tomorrow Never Ends,OVA,Visual novel,3,Finished Airing
Magical Canan,Magical Kanan,TV,Visual novel,13,Finished Airing
Gancheopjamneun Ttorijanggun,,Movie,Unknown,1,Finished Airing
Henshin Gattai! 5 tsu no Atsuki Tamashii,,Music,Original,1,Finished Airing
Mekakucity V&#039;s,Mekakucity V&#039;s,Music,Music,4,Finished Airing
Anime-ban Toukaidou Yotsuya Kaidan,,Special,Other,1,Finished Airing
18if,18if,TV,Game,13,Finished Airing
Koushoku Ichidai Otoko,The Sensualist,OVA,Unknown,1,Finished Airing
Toukiden 2,,ONA,Game,3,Finished Airing
Ningyou Tsukai,Sexorcist,OVA,Unknown,1,Finished Airing
Suijungenten​,Datum Point,Movie,Unknown,1,Finished Airing
.hack//Roots,.hack//roots,TV,Original,26,Finished Airing
To LOVE-Ru Darkness,To LOVE Ru Darkness,TV,Manga,12,Finished Airing
Niuniu Elise PV,Elise in Wonder Cooking,ONA,Other,1,Finished Airing
Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose,,OVA,Manga,1,Finished Airing
Gakkatsu!,,TV,Original,25,Finished Airing
Fojiao Donghua: Dashi Zhi Pusa Nianfo Yuantong Zhang,Maha-Stamaprapta Bodhisattva&#039;s Preachment on Being Mindful of the Buddha,Special,Unknown,1,Finished Airing
Genma Taisen: Shinwa Zenya no Shou,Genma Wars,TV,Manga,13,Finished Airing
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,,Movie,Game,1,Finished Airing
Ginga Reppuu Baxingar,Galactic Gale Baxingar,TV,Original,39,Finished Airing
Mushishi Zoku Shou: Odoro no Michi,Mushishi Path of Thorns,Special,Manga,1,Finished Airing
Unsweet: Netorare Ochita Onna-tachi,,OVA,Manga,1,Finished Airing
Good Morning Althea,,OVA,Unknown,1,Finished Airing
Kishin Houkou Demonbane,,OVA,Visual novel,1,Finished Airing
Telepathist IQ Saiko,IQ Psycho,OVA,Unknown,1,Finished Airing
Yu☆Gi☆Oh!,,TV,Manga,27,Finished Airing
Haou Daikei Ryuu Knight: Adeu Legend II,Lord of Lords Ryu Knight: Adeu&#039;s Legend II,OVA,Unknown,3,Finished Airing
Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,,TV,Original,13,Finished Airing
Himawari no You ni,,OVA,Unknown,1,Finished Airing
Gakusen Toshi Asterisk 2nd Season,The Asterisk War Season 2,TV,Light novel,12,Finished Airing
Choujin Sentai Baratack,,TV,Unknown,31,Finished Airing
"Minami Kamakura Koukou Joshi Jitenshabu: Kita yo, Taiwan!",kura High School Girls Cycling Club: We&#039;re In Taiwan!!,Special,Manga,1,Finished Airing
Barom One,,TV,Manga,13,Finished Airing
Omedetou Jesus-sama,,OVA,Novel,1,Finished Airing
Kaitou Yumenosuke,,Music,Original,1,Finished Airing
InuYasha: Kanketsu-hen,InuYasha: The Final Act,TV,Manga,26,Finished Airing
Piano no Mori,,Movie,Manga,1,Finished Airing
Usavich Special,,Special,Unknown,1,Finished Airing
Inyouchuu Shoku: Harami Ochiru Shoujo-tachi Anime Edition,,OVA,Visual novel,0,Currently Airing
One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,One Piece: Baron Omatsuri and the Secret Island,Movie,Manga,1,Finished Airing
Norasco (Movie),,Movie,Original,0,Currently Airing
Gundam Build Fighters OVA,,OVA,Unknown,1,Not yet aired
Bemubemu Hunter Kotengu Tenmaru,,TV,Unknown,19,Finished Airing
World Fool News,,ONA,Unknown,6,Finished Airing
Geragera Boes Monogatari,Ox Tales,TV,Other,52,Finished Airing
Chibikuro Sambo to Futago no Otouto,,Movie,Original,1,Finished Airing
Greek Roman Sinhwa: Olympus Guardian,,TV,Unknown,39,Finished Airing
Sugar Bunnies: Taisetsu na Tomodachi e...,,Special,Original,1,Finished Airing
Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata,,OVA,Unknown,1,Finished Airing
Mirai Koushi Harima SACLA,,ONA,Unknown,1,Finished Airing
Manga Nihon Emaki,,TV,Unknown,46,Finished Airing
Unico,The Fantastic Adventures Of Unico,Movie,Manga,1,Finished Airing
Cinderella Girls Gekijou: Kayou Cinderella Theater,THE IDOLM@STER CINDERELLA GIRLS Theater: Tuesday Cinderella Theater,ONA,4-koma manga,13,Finished Airing
Oh! Edo Rocket,Oh! Edo Rocket,TV,Other,26,Finished Airing
Urashima Tarou,,Movie,Other,1,Finished Airing
PopoloCrois,,TV,Game,26,Finished Airing
Guy: Youma Kakusei,Guy: Double Target,OVA,Unknown,2,Finished Airing
Riding the Storm,,Music,Music,1,Finished Airing
Symphonic Variations,,Music,Music,1,Finished Airing
Hato no Oyome-san,,TV,Unknown,22,Finished Airing
Kiki to Lala no Mamatte Suteki!,,OVA,Unknown,1,Finished Airing
Uragiri wa Boku no Namae wo Shitteiru,The Betrayal Knows My Name,TV,Manga,24,Finished Airing
Fatal Fury 2: The New Battle,Fatal Fury 2: The New Battle,OVA,Game,1,Finished Airing
Moetan,,TV,Other,12,Finished Airing
Manie-Manie: Meikyuu Monogatari,Neo Tokyo,Movie,Original,3,Finished Airing
Tentai Senshi Sunred,,TV,Manga,26,Finished Airing
Brain Powerd,,TV,Original,26,Finished Airing
Jishin da!! Mii-chan no Bousai Kunren,,OVA,Unknown,1,Finished Airing
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie,Special,Unknown,1,Finished Airing
Futago no Haha Seihonnou,Menage a Twins,OVA,Visual novel,2,Finished Airing
Aneki no Kounai Kaikinbi,,OVA,Original,1,Finished Airing
Saimin Gakuen,HypnoLove,OVA,Visual novel,2,Finished Airing
Go! Go! Veggie-tan,,Special,Unknown,1,Finished Airing
Akazukin Chanto Manabou! Koutsuu Rule,,OVA,Unknown,1,Finished Airing
Kimi no Sumu Machi,,Special,Original,1,Finished Airing
Yamakoshi Mura no Mari to Sanbiki no Koinu,,OVA,Unknown,1,Finished Airing
Muzumuzu Eighteen,,TV,Original,20,Finished Airing
Inumarudashi,,TV,Manga,4,Finished Airing
Shokugeki no Souma: Ni no Sara OVA,,OVA,Manga,2,Finished Airing
Swamp Stamp Anime Edition,,OVA,Manga,1,Finished Airing
Seisen Gakuin,Holy Sleazy School,OVA,Original,1,Finished Airing
Gundam: Mission to the Rise,Gundam: Mission To The Rise,Special,Unknown,1,Finished Airing
Suhoyojeong Michel,Michel,TV,Unknown,26,Finished Airing
Ajin Part 3: Shougeki,Ajin: Demi-Human Movie 3: Collide,Movie,Manga,1,Finished Airing
Skyers 5,,TV,Unknown,12,Finished Airing
Taimanin Asagi 2,,OVA,Visual novel,2,Finished Airing
Ashita Tenki ni Naare,A Great Super Shot Boy,TV,Manga,47,Finished Airing
Sasami: Mahou Shoujo Club 2,Sasami Magical Girls Club,TV,Unknown,13,Finished Airing
Manga Aesop Monogatari (TV),,TV,Unknown,52,Finished Airing
Kosys! Lite: Tsuyoku Suishou Bansaku no Sunglasses - Password Tsukai-mawashi no Jutsu,,ONA,Original,1,Finished Airing
Makai Tenshou,Ninja Resurrection,OVA,Novel,2,Finished Airing
Renai Boukun,Love Tyrant,TV,Web manga,12,Finished Airing
Amagami SS: Tachibana Miya-hen - Imouto,Amagami SS: Little Sister,Special,Unknown,1,Finished Airing
Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,,OVA,Unknown,2,Finished Airing
Umo,,Music,Unknown,1,Finished Airing
Present (Music),Present,Music,Original,1,Finished Airing
Yuu☆Yuu☆Hakusho,Yu Yu Hakusho: Ghost Files,TV,Manga,112,Finished Airing
Pikmin Short Movies,,Movie,Game,3,Finished Airing
Densetsu no Yuusha no Densetsu,The Legend of the Legendary Heroes,TV,Light novel,24,Finished Airing
Hachimitsu to Clover Specials,Honey and Clover Specials,Special,Manga,2,Finished Airing
Kagewani,Kagewani,TV,Original,13,Finished Airing
Shin Ace wo Nerae!,New Aim for the Ace!,TV,Manga,25,Finished Airing
Hentai Ouji to Warawanai Neko.: Henneko BBS,,Special,Light novel,13,Finished Airing
Zero no Tsukaima: Princesses no Rondo Picture Drama,,Special,Unknown,7,Finished Airing
Fuse: Teppou Musume no Torimonochou,Fusé: Memoirs of a Huntress,Movie,Book,1,Finished Airing
Hataraku Onii-san! No 2!,Working Buddies! No 2!,TV,Original,0,Not yet aired
Son O-gong gwa Byeoldeul-ui Jeonjaeng,,Movie,Unknown,1,Finished Airing
Shouri Toushu,,Movie,Unknown,1,Finished Airing
Backkom Mission Impossible,,ONA,Original,2,Finished Airing
Zhen Hun Jie,Rakshasa Street,ONA,Manga,24,Finished Airing
Egao no Orquesta!,,Music,Manga,1,Finished Airing
To LOVE-Ru OVA,,OVA,Manga,6,Finished Airing
Mobile Suit SD Gundam Mk IV,,OVA,Unknown,2,Finished Airing
Brave Witches,Brave Witches,TV,Original,12,Finished Airing
Dokaben,,TV,Unknown,163,Finished Airing
Sabage-bu!,Sabagebu! -Survival Game Club!-,TV,Manga,12,Finished Airing
Gomen yo! Wanwan,,Music,Original,1,Finished Airing
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,Ghost in the Shell: Stand Alone Complex: Solid State Society 3D,Movie,Unknown,1,Finished Airing
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,,Special,Manga,1,Finished Airing
Haikyuu!!: Lev Genzan!,,OVA,Manga,1,Finished Airing
Black Jack (TV): Hizouban Specials,,Special,Unknown,2,Finished Airing
Love Machine: Animaid Shoufu 23-gou,,OVA,Unknown,2,Finished Airing
Downloader,,Music,Unknown,1,Finished Airing
Venus Senki,Venus Wars,Movie,Manga,1,Finished Airing
It Seems like a Frog,It seems like a frog,Music,Original,1,Finished Airing
Kaze no Matasaburou,,OVA,Unknown,1,Finished Airing
Bible Black: New Testament Recap,,OVA,Visual novel,1,Finished Airing
Golden Batman,,Movie,Unknown,1,Finished Airing
Momoko,,OVA,Unknown,2,Finished Airing
Hello Kitty: Ringo no Mori to Parallel Town,,TV,Unknown,27,Finished Airing
Robot King,,Movie,Unknown,1,Finished Airing
Eroge! H mo Game mo Kaihatsu Zanmai,,OVA,Visual novel,6,Finished Airing
Fushigi na Taiko,,Movie,Other,1,Finished Airing
Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,Sergeant Frog Movie 2,Movie,Unknown,1,Finished Airing
Kabi Usagi: Game Center,,ONA,Original,1,Finished Airing
Nara Shika Monogatari,Nara Deer Story,ONA,Unknown,1,Finished Airing
Initial D Extra Stage,,OVA,Manga,2,Finished Airing
Z/X: Code Reunion,,TV,Card game,0,Not yet aired
Tsumamigui,Wife Eater,OVA,Visual novel,2,Finished Airing
Netorare: Tanabe Yuuka no Dokuhaku,,OVA,Original,1,Finished Airing
300 En no Otsukiai Anime Edition,,OVA,Manga,1,Finished Airing
Gakkou no Kaidan (OVA),,OVA,Unknown,10,Finished Airing
Otogi Story Tenshi no Shippo,Angel Tales,TV,Original,12,Finished Airing
Hello Kitty no Hansel to Gretel,Hello Kitty & Dear Daniel in Hansel & Gretel,OVA,Unknown,1,Finished Airing
REACH x Thermae Romae: Pietrada no Kekkon,,Special,Unknown,1,Finished Airing
91 Daze,,Special,Original,7,Finished Airing
Xiyue Qi Tong,Saving Mother,Movie,Other,1,Finished Airing
Dirty Pair Flash,Dirty Pair Flash,OVA,Light novel,6,Finished Airing
Maken Liner 0011 Henshin Seyo!,,Movie,Unknown,1,Finished Airing
Makai Toshi Shinjuku,Demon City Shinjuku,OVA,Novel,1,Finished Airing
Psycho-Pass 2,Psycho-Pass 2,TV,Original,11,Finished Airing
Gundam Build Divers,,TV,Original,0,Currently Airing
Chimera: Target I Datenshi Kourin,,OVA,Original,1,Finished Airing
Roppou Yabure-kun,,TV,Unknown,110,Finished Airing
Nintama Rantarou: Dokutake Onsen no Dan,,Special,Unknown,1,Finished Airing
Quote,Quote,Music,Original,3,Finished Airing
Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,Dragon Quest Great Adventure of Dai! Destroy!! The Reborn 6 Commanders,Movie,Game,1,Finished Airing
Nekoronde TV.,,TV,Unknown,12,Finished Airing
Mahoutsukai Nara Miso wo Kue!,,OVA,Light novel,1,Finished Airing
Cinderella Girls Gekijou 2nd Season Specials,,Special,4-koma manga,3,Finished Airing
Teo the Magic Planet Pilot,,Special,Game,1,Finished Airing
Onyankopon,,ONA,Other,12,Finished Airing
Pika Don,,Movie,Unknown,1,Finished Airing
Asonde Oboeru Gakushuu DVD,,OVA,Original,12,Finished Airing
Nils no Fushigi na Tabi,Wonderful Adventures of Nils,TV,Novel,52,Finished Airing
Ankoku Cat,,ONA,Original,6,Finished Airing
Konohana no Sakuya Mori,Forest this flower bloom,Movie,Original,1,Finished Airing
Toji no Miko Recap,,Special,Original,1,Finished Airing
Sacred Seven: Shirogane no Tsubasa Picture Drama,Sacred Seven: Wings of the Silver Moon Picture Drama,Special,Unknown,2,Finished Airing
Frypan Jiisan,,Movie,Unknown,1,Finished Airing
Enshou Nihon Mukashibanashi,,OVA,Unknown,1,Finished Airing
Working!!!,Wagnaria!!3,TV,4-koma manga,13,Finished Airing
Schwarzesmarken,Schwarzes Marken,TV,Light novel,12,Finished Airing
Super Milk-chan,Super Milk-Chan,TV,Unknown,14,Finished Airing
Super Robot Taisen OG: Divine Wars Special,Super Robot Wars Original Generation: Divine Wars Special,Special,Game,1,Finished Airing
Piece,,Music,Music,1,Finished Airing
Roots Search: Shokushin Buttai X,Roots Search,OVA,Original,1,Finished Airing
Boku wa Ou-sama (TV),,TV,Picture book,12,Finished Airing
Cleavage,Cleavage,OVA,Visual novel,2,Finished Airing
Lupin III: Babylon no Ougon Densetsu,,Movie,Manga,1,Finished Airing
Angel Blade: Ultimate Edition - Tokuteneizou,,Special,Original,1,Finished Airing
Lolling Seutajeu,Rolling Stars,TV,Unknown,26,Finished Airing
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (ONA)",,ONA,Radio,2,Finished Airing
Kentoushi,,OVA,Unknown,3,Finished Airing
Osaru no Kantai,The Monkey Fleet,Movie,Original,1,Finished Airing
Harukanaru Toki no Naka de: Hachiyou Shou Recap,,Special,Visual novel,1,Finished Airing
Yakin Byoutou Specials,,OVA,Visual novel,2,Finished Airing
Mochi Mochi no Ki (OVA),The Tree of Courage,OVA,Other,1,Finished Airing
Doraemon: Benkyou Heya no Tsuribori,,Special,Manga,1,Finished Airing
Madonna: Kanjuku Body Collection,,OVA,Visual novel,1,Finished Airing
Kutsuya to Kobito,Elves and the Shoemaker,Movie,Other,1,Finished Airing
GJ8man,GJ8man,ONA,Unknown,0,Currently Airing
Kaishain vs. Credit Card Kachou: CreCar no Rule Shitteru kai?,Kaishain vs Credit Card Kacho,ONA,Original,0,Currently Airing
Love Hina Christmas Special: Silent Eve,Love Hina Christmas Movie,Special,Manga,1,Finished Airing
Futari no Joe,Joe vs Joe,OVA,Unknown,6,Finished Airing
Hetalia: The Beautiful World Extra Disc,,OVA,Web manga,1,Finished Airing
Pom Pom Purin no Usagi to Kame,Pom Pom Purin in the Tortoise and the Hare,OVA,Unknown,1,Finished Airing
The Legend of Huainanzi,,TV,Other,26,Finished Airing
Yuuki Yuuna wa Yuushabu Shozoku,,Movie,Manga,1,Finished Airing
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Puella Magi Madoka Magica the Movie Part 1: Beginnings,Movie,Original,1,Finished Airing
Yowamushi Pedal: Grande Road,,TV,Manga,24,Finished Airing
Ginga Tetsudou 999: Akai Hoshi Betelgeuze - Inochi no Kagayaki,,Movie,Unknown,1,Finished Airing
Monmusu Quest!,,ONA,Visual novel,0,Currently Airing
Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi,,Special,Unknown,1,Finished Airing
Pupa,Pupa,TV,Manga,12,Finished Airing
One Piece Film: Strong World,One Piece Film Strong World,Movie,Manga,1,Finished Airing
Uju Jeonsa Hong Gildong,,Movie,Unknown,1,Finished Airing
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,,Special,Manga,1,Finished Airing
Alice in Cyberland,,OVA,Game,1,Finished Airing
Inazma Delivery,Inazma Delivery,TV,Original,10,Finished Airing
